question_id	question_rank	document_title	paragraph_index
1	1	Law_of_the_United_States	0
1	2	Age_of_Enlightenment	65
1	3	Late_Middle_Ages	36
1	4	East_India_Company	15
1	5	Kievan_Rus%27	27
4	1	Paris	49
4	2	BeiDou_Navigation_Satellite_System	18
4	3	Glass	10
4	4	Alps	33
4	5	Paris	48
7	1	Beyoncé	16
7	2	Chinese_characters	51
7	3	Beyoncé	54
7	4	Catalan_language	37
7	5	Central_Intelligence_Agency	14
10	1	Mandolin	14
10	2	Hunter-gatherer	0
10	3	Boston	44
10	4	Hydrogen	6
10	5	United_States_Air_Force	40
13	1	Gene	53
13	2	Jehovah%27s_Witnesses	24
13	3	Race_(human_categorization)	14
13	4	Intellectual_property	3
13	5	USB	13
16	1	Richmond,_Virginia	14
16	2	Oklahoma_City	11
16	3	Cork_(city)	11
16	4	Israel	39
16	5	Raleigh,_North_Carolina	0
19	1	Xbox_360	10
19	2	London	56
19	3	North_Carolina	45
19	4	Xbox_360	4
19	5	BeiDou_Navigation_Satellite_System	14
22	1	Neptune	28
22	2	Bill_%26_Melinda_Gates_Foundation	18
22	3	Copyright_infringement	4
22	4	Hydrogen	41
22	5	Swaziland	19
25	1	Gene	20
25	2	Estonian_language	13
25	3	IBM	0
25	4	East_India_Company	9
25	5	Crucifixion_of_Jesus	17
28	1	Gothic_architecture	34
28	2	Law_of_the_United_States	3
28	3	Presbyterianism	26
28	4	Plymouth	36
28	5	History_of_science	59
31	1	Warsaw_Pact	14
31	2	Sahara	19
31	3	Friedrich_Hayek	11
31	4	Friedrich_Hayek	20
31	5	History_of_science	41
34	1	New_York_City	30
34	2	The_Bronx	7
34	3	New_York_City	107
34	4	New_York_City	140
34	5	New_York_City	108
37	1	Yale_University	22
37	2	Federal_Bureau_of_Investigation	26
37	3	Gothic_architecture	34
37	4	Sahara	19
37	5	Israel	19
40	1	Slavs	35
40	2	Slavs	33
40	3	Detroit	26
40	4	North_Carolina	57
40	5	Jews	2
43	1	Digestion	16
43	2	Middle_Ages	3
43	3	Paris	40
43	4	University	24
43	5	Boston	2
46	1	Marshall_Islands	4
46	2	Marshall_Islands	49
46	3	Geography_of_the_United_States	20
46	4	Neoclassical_architecture	16
46	5	Idealism	20
49	1	Late_Middle_Ages	37
49	2	Warsaw_Pact	14
49	3	Rule_of_law	12
49	4	Royal_Institute_of_British_Architects	8
49	5	Genocide	23
52	1	BeiDou_Navigation_Satellite_System	12
52	2	BeiDou_Navigation_Satellite_System	29
52	3	BeiDou_Navigation_Satellite_System	2
52	4	Hyderabad	41
52	5	Sahara	9
55	1	Sony_Music_Entertainment	17
55	2	Alsace	5
55	3	Buddhism	138
55	4	History_of_India	57
55	5	Szlachta	50
58	1	Bacteria	14
58	2	Uranium	28
58	3	Phonology	21
58	4	Republic_of_the_Congo	0
58	5	Bacteria	26
61	1	Catalan_language	29
61	2	Boston	44
61	3	Gramophone_record	29
61	4	Gramophone_record	19
61	5	Gramophone_record	28
64	1	Russian_Soviet_Federative_Socialist_Republic	18
64	2	Russian_Soviet_Federative_Socialist_Republic	16
64	3	Russian_Soviet_Federative_Socialist_Republic	20
64	4	Russian_Soviet_Federative_Socialist_Republic	17
64	5	Tajikistan	13
67	1	Estonian_language	22
67	2	Tuvalu	14
67	3	Aircraft_carrier	25
67	4	Cardinal_(Catholicism)	39
67	5	Human_Development_Index	16
70	1	Rule_of_law	17
70	2	Richmond,_Virginia	33
70	3	National_Archives_and_Records_Administration	1
70	4	University_of_Notre_Dame	48
70	5	Textual_criticism	17
73	1	Mammal	2
73	2	The_Blitz	4
73	3	2008_Summer_Olympics_torch_relay	40
73	4	Arsenal_F.C.	21
73	5	Russian_Soviet_Federative_Socialist_Republic	1
76	1	London	48
76	2	Film_speed	24
76	3	Philadelphia	49
76	4	Railway_electrification_system	15
76	5	Miami	41
79	1	Sahara	19
79	2	Tuvalu	3
79	3	Chihuahua_(state)	62
79	4	Sahara	0
79	5	Indigenous_peoples_of_the_Americas	22
82	1	Canadian_Armed_Forces	41
82	2	Capital_punishment_in_the_United_States	25
82	3	Paris	40
82	4	University_of_Kansas	24
82	5	Adolescence	4
85	1	Old_English	6
85	2	Genome	15
85	3	Genome	17
85	4	British_Isles	12
85	5	Aspirated_consonant	25
88	1	Boston	14
88	2	Boston	72
88	3	Boston	1
88	4	Boston	10
88	5	Affirmative_action_in_the_United_States	25
91	1	Pharmaceutical_industry	35
91	2	Green	10
91	3	Tucson,_Arizona	39
91	4	Institute_of_technology	21
91	5	Transistor	1
94	1	Oklahoma	37
94	2	Southern_Europe	20
94	3	Eritrea	17
94	4	Southern_Europe	21
94	5	Guinea-Bissau	34
97	1	The_Legend_of_Zelda:_Twilight_Princess	24
97	2	Virgil	2
97	3	Neptune	28
97	4	Diarrhea	13
97	5	Catalan_language	43
100	1	Punjab,_Pakistan	8
100	2	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	3	Capital_punishment_in_the_United_States	2
100	4	Sumer	22
100	5	Madrasa	5
103	1	East_Prussia	2
103	2	51st_state	6
103	3	Military_history_of_the_United_States	26
103	4	Dwight_D._Eisenhower	62
103	5	War_on_Terror	19
106	1	Endangered_Species_Act	25
106	2	Circadian_rhythm	4
106	3	Dominican_Order	19
106	4	On_the_Origin_of_Species	35
106	5	Armenians	21
109	1	New_Delhi	19
109	2	Planck_constant	14
109	3	Himachal_Pradesh	13
109	4	Sahara	19
109	5	History_of_science	36
112	1	Slavs	35
112	2	Slavs	33
112	3	2008_Sichuan_earthquake	67
112	4	Samoa	2
112	5	Kathmandu	24
115	1	Hunting	34
115	2	Geological_history_of_Earth	21
115	3	Raleigh,_North_Carolina	2
115	4	North_Carolina	18
115	5	Boston	4
118	1	Institute_of_technology	55
118	2	Bird_migration	46
118	3	Virgil	13
118	4	Nigeria	31
118	5	Intellectual_property	3
121	1	Macintosh	28
121	2	Macintosh	3
121	3	Zinc	2
121	4	American_Idol	45
121	5	Education	21
124	1	List_of_numbered_streets_in_Manhattan	4
124	2	Dell	24
124	3	Germans	14
124	4	Hydrogen	57
124	5	Buddhism	45
127	1	Capacitor	7
127	2	Bern	34
127	3	Professional_wrestling	25
127	4	Dialect	1
127	5	Videoconferencing	8
130	1	Bird_migration	55
130	2	Slavs	35
130	3	England_national_football_team	2
130	4	Arnold_Schwarzenegger	82
130	5	Szlachta	58
133	1	New_York_City	95
133	2	Richmond,_Virginia	4
133	3	Printed_circuit_board	32
133	4	Thuringia	18
133	5	Samurai	42
136	1	Hunter-gatherer	23
136	2	Orthodox_Judaism	0
136	3	Mammal	2
136	4	Galicia_(Spain)	26
136	5	Architecture	6
139	1	Red	6
139	2	Athanasius_of_Alexandria	0
139	3	Athanasius_of_Alexandria	2
139	4	Gothic_architecture	34
139	5	Athanasius_of_Alexandria	11
142	1	Sanskrit	17
142	2	Somerset	31
142	3	Rajasthan	13
142	4	Carnival	25
142	5	Seattle	46
145	1	Paris	40
145	2	East_India_Company	23
145	3	Slavs	35
145	4	Mexico_City	80
145	5	Renewable_energy_commercialization	1
148	1	Sahara	19
148	2	The_Times	1
148	3	The_Times	47
148	4	Somerset	6
148	5	Antibiotics	1
151	1	Ottoman_Empire	33
151	2	University_of_Notre_Dame	18
151	3	Roman_Republic	74
151	4	Greece	70
151	5	Buddhism	138
154	1	Hydrogen	7
154	2	Separation_of_church_and_state_in_the_United_States	6
154	3	Mosaic	24
154	4	Eton_College	5
154	5	History_of_science	11
157	1	Hokkien	16
157	2	Database	20
157	3	Pub	3
157	4	Sexual_orientation	26
157	5	Textual_criticism	6
160	1	Computer	45
160	2	United_States_Air_Force	55
160	3	Textual_criticism	6
160	4	Endangered_Species_Act	30
160	5	Protestantism	67
163	1	Eritrea	10
163	2	Adult_contemporary_music	7
163	3	Estonia	30
163	4	Indigenous_peoples_of_the_Americas	37
163	5	History_of_India	43
166	1	FA_Cup	22
166	2	New_York_City	23
166	3	Baptists	17
166	4	New_York_City	130
166	5	Multiracial_American	5
169	1	Muammar_Gaddafi	51
169	2	Muammar_Gaddafi	52
169	3	History_of_India	62
169	4	Muammar_Gaddafi	47
169	5	Mosaic	10
172	1	Separation_of_powers_under_the_United_States_Constitution	2
172	2	Sahara	19
172	3	Portugal	19
172	4	British_Isles	20
172	5	Mosaic	10
175	1	PlayStation_3	32
